data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles,source_file,is_standardized
Array,1000,1000,1298,7456,5.74,2,1101,12,9,0,85.8,3198.0,198.0,deep_scaling_results_1776339155.csv,True
Array,2500,1000,14615,17956,1.23,0,2601,12,57,0,78.8,7023.0,435.0,deep_scaling_results_1776339155.csv,True
Array,5000,1000,28155,35456,1.26,3,5101,13,174,0,67.5,13109.0,812.0,deep_scaling_results_1776339155.csv,True
Array,7500,1000,41792,52956,1.27,3,7601,13,454,0,75.8,20292.0,1258.0,deep_scaling_results_1776339155.csv,True
Array,10000,1000,55264,70456,1.27,7,10101,13,634,0,73.6,26440.0,1639.0,deep_scaling_results_1776339155.csv,True
Array,25000,1000,136447,175456,1.29,15,25101,12,1572,0,74.5,65404.0,4054.0,deep_scaling_results_1776339155.csv,True
Array,50000,1000,271113,350456,1.29,42,50101,13,3136,0,78.2,131280.0,8137.0,deep_scaling_results_1776339155.csv,True
Array,75000,1000,406981,525456,1.29,28,75101,13,4696,0,64.1,185089.0,11472.0,deep_scaling_results_1776339155.csv,True
Array,100000,200,537118,700456,1.3,2024,100101,15,6278,5,82.1,265622.0,36813.0,deep_scaling_results_1776339155.csv,True
Array,250000,200,1224817,1750456,1.43,3716,250101,14,15637,0,84.0,654143.0,90660.0,deep_scaling_results_1776339155.csv,True
Array,500000,200,2054598,3500457,1.7,16070,402056,14,31264,0,80.0,1250310.0,173284.0,deep_scaling_results_1776339155.csv,True
Array,750000,200,2809398,5245688,1.87,30057,750102,15,46892,5,73.3,1759989.0,243922.0,deep_scaling_results_1776339155.csv,True
Array,1000000,20,3562370,5848823,1.64,75900,859846,15,54567,46,70.9,2175438.0,953428.0,deep_scaling_results_1776339155.csv,True
Array,2500000,20,7394959,11053254,1.49,151882,1669407,24,105678,1295,26.5,2082049.0,912498.0,deep_scaling_results_1776339155.csv,True
Array,5000000,20,16222349,25259891,1.56,355765,3673147,24,231714,2733,14.0,2247445.0,984986.0,deep_scaling_results_1776339155.csv,True
Array,7500000,20,23946501,37693062,1.57,536704,5393624,27,338172,4237,2.3,547614.0,240002.0,deep_scaling_results_1776339155.csv,True
Array,10000000,3,31088712,49353872,1.59,715338,7187557,20,430254,5238,8.4,2716373.0,3073866.0,deep_scaling_results_1776339155.csv,True
LinkedList,1000,1000,11765,7454,0.63,0,1101,10,416,0,68.5,6809.0,422.0,deep_scaling_results_1776339155.csv,True
LinkedList,2500,1000,41173,17954,0.44,0,2601,12,2244,0,78.2,21848.0,1354.0,deep_scaling_results_1776339155.csv,True
LinkedList,5000,1000,98458,35454,0.36,1,5101,13,5122,0,84.2,54974.0,3407.0,deep_scaling_results_1776339155.csv,True
LinkedList,7500,1000,183657,52954,0.29,3,7601,12,7988,0,84.0,98684.0,6117.0,deep_scaling_results_1776339155.csv,True
LinkedList,10000,1000,390201,70454,0.18,8,10101,14,11066,0,67.8,185644.0,11506.0,deep_scaling_results_1776339155.csv,True
LinkedList,25000,1000,1063036,175454,0.17,4,25101,14,25664,0,78.4,559599.0,34684.0,deep_scaling_results_1776339155.csv,True
LinkedList,50000,1000,2184952,350454,0.16,13,50101,13,50725,0,94.6,1633220.0,101228.0,deep_scaling_results_1776339155.csv,True
LinkedList,75000,1000,3625154,460110,0.13,2458,65094,14,64880,0,81.7,2964838.0,183763.0,deep_scaling_results_1776339155.csv,True
LinkedList,100000,200,5216785,507062,0.1,29961,72826,15,78428,2,62.8,3638318.0,504245.0,deep_scaling_results_1776339155.csv,True
LinkedList,250000,200,25761469,1264385,0.05,402463,179710,22,247404,35785,9.3,2442003.0,338444.0,deep_scaling_results_1776339155.csv,True
LinkedList,500000,200,62873715,2506850,0.04,1369663,358769,23,678618,183273,4.5,2811283.0,389624.0,deep_scaling_results_1776339155.csv,True
LinkedList,750000,200,101129210,3739317,0.04,2424132,534797,26,1174415,322005,3.3,3315831.0,459551.0,deep_scaling_results_1776339155.csv,True
LinkedList,1000000,20,138765281,4989208,0.04,3388684,715772,26,1637922,460691,1.3,1852572.0,811925.0,deep_scaling_results_1776339155.csv,True
LinkedList,2500000,20,380634720,12496632,0.03,10138077,1783882,28,4767360,1323763,0.8,3050621.0,1336994.0,deep_scaling_results_1776339155.csv,True
LinkedList,5000000,20,815062654,24996489,0.03,22421874,3572223,30,10164652,2750672,1.9,15490617.0,6789062.0,deep_scaling_results_1776339155.csv,True
LinkedList,7500000,20,1300836720,37498828,0.03,33592242,5355315,26,15525380,4180747,2.9,37974427.0,16643026.0,deep_scaling_results_1776339155.csv,True
LinkedList,10000000,3,1838376750,50019039,0.03,50086813,7145709,48,21030207,5613518,1.0,17568449.0,19880572.0,deep_scaling_results_1776339155.csv,True
AoS,1000,1000,6513,7456,1.14,1,1101,12,97,0,75.2,3142.0,195.0,deep_scaling_results_1776339155.csv,True
AoS,2500,1000,14828,17956,1.21,0,2601,11,633,0,66.3,6781.0,420.0,deep_scaling_results_1776339155.csv,True
AoS,5000,1000,2227,35456,15.92,10,5101,12,1261,0,93.4,14088.0,873.0,deep_scaling_results_1776339155.csv,True
AoS,7500,1000,41812,52956,1.27,19,7601,12,1889,0,63.0,19229.0,1192.0,deep_scaling_results_1776339155.csv,True
AoS,10000,1000,56007,70456,1.26,32,10101,12,2510,0,86.4,28185.0,1747.0,deep_scaling_results_1776339155.csv,True
AoS,25000,1000,137566,175456,1.28,25,25101,12,6258,0,88.2,69275.0,4294.0,deep_scaling_results_1776339155.csv,True
AoS,50000,1000,273130,350456,1.28,44,50101,13,12509,0,88.8,137962.0,8551.0,deep_scaling_results_1776339155.csv,True
AoS,75000,1000,409520,525456,1.28,98,75101,13,18757,0,82.5,212394.0,13164.0,deep_scaling_results_1776339155.csv,True
AoS,100000,200,516018,700456,1.36,1321,100101,13,25010,0,91.7,285166.0,39522.0,deep_scaling_results_1776339155.csv,True
AoS,250000,200,1371748,1750456,1.28,34964,250101,14,62525,14,82.7,723743.0,100306.0,deep_scaling_results_1776339155.csv,True
AoS,500000,200,2246407,3500457,1.56,134482,500102,14,125272,1725,72.6,1354561.0,187733.0,deep_scaling_results_1776339155.csv,True
AoS,750000,200,3125320,4607998,1.47,214994,637787,15,158198,2096,67.0,1865090.0,258488.0,deep_scaling_results_1776339155.csv,True
AoS,1000000,20,3865111,5270447,1.36,298590,837842,17,206827,2223,62.9,2280026.0,999265.0,deep_scaling_results_1776339155.csv,True
AoS,2500000,20,9332319,12357736,1.32,616989,1731425,49,431629,5353,9.3,860261.0,377026.0,deep_scaling_results_1776339155.csv,True
AoS,5000000,20,17489294,24295899,1.39,1237813,3494987,50,868744,11063,8.5,1562615.0,684846.0,deep_scaling_results_1776339155.csv,True
AoS,7500000,20,27358611,36721721,1.34,1940928,5307051,24,1347464,16665,8.8,2383348.0,1044548.0,deep_scaling_results_1776339155.csv,True
AoS,10000000,3,35754894,49737238,1.39,2667904,7494142,40,1792987,20362,6.1,2198304.0,2487616.0,deep_scaling_results_1776339155.csv,True
SoA,1000,1000,6531,7456,1.14,0,1101,12,2,0,69.2,3039.0,188.0,deep_scaling_results_1776339155.csv,True
SoA,2500,1000,1270,17956,14.14,0,2601,12,50,0,95.9,7061.0,438.0,deep_scaling_results_1776339155.csv,True
SoA,5000,1000,28151,35456,1.26,0,5101,13,1,0,59.3,12326.0,764.0,deep_scaling_results_1776339155.csv,True
SoA,7500,1000,41666,52956,1.27,0,7601,12,447,0,85.7,20436.0,1267.0,deep_scaling_results_1776339155.csv,True
SoA,10000,1000,55259,70456,1.28,4,10101,14,633,0,71.8,26245.0,1627.0,deep_scaling_results_1776339155.csv,True
SoA,25000,1000,136681,175456,1.28,12,25101,13,1572,0,63.5,61970.0,3841.0,deep_scaling_results_1776339155.csv,True
SoA,50000,1000,269065,350456,1.3,36,50101,13,3135,0,62.5,121036.0,7502.0,deep_scaling_results_1776339155.csv,True
SoA,75000,1000,406791,525456,1.29,80,75101,13,4695,0,82.4,198690.0,12315.0,deep_scaling_results_1776339155.csv,True
SoA,100000,200,505191,700456,1.39,166,100101,16,6276,0,91.7,267248.0,37039.0,deep_scaling_results_1776339155.csv,True
SoA,250000,200,1348681,1750456,1.3,578,250101,14,15639,0,79.6,639725.0,88661.0,deep_scaling_results_1776339155.csv,True
SoA,500000,200,2076840,3500457,1.69,29575,500102,17,31380,325,76.8,1225644.0,169866.0,deep_scaling_results_1776339155.csv,True
SoA,750000,200,3909582,4804095,1.23,43490,716077,19,33241,280,53.0,1554248.0,215408.0,deep_scaling_results_1776339155.csv,True
SoA,1000000,20,3099500,5967994,1.93,59780,956563,16,52925,18,73.0,2206821.0,967182.0,deep_scaling_results_1776339155.csv,True
SoA,2500000,20,7464538,11238772,1.51,160901,1674390,22,100567,1249,21.0,1683517.0,737834.0,deep_scaling_results_1776339155.csv,True
SoA,5000000,20,15684926,24186150,1.54,346939,3559854,28,223536,2735,16.2,2568900.0,1125870.0,deep_scaling_results_1776339155.csv,True
SoA,7500000,20,23919616,38895345,1.63,549367,5575047,39,349721,4188,8.4,2012540.0,882035.0,deep_scaling_results_1776339155.csv,True
SoA,10000000,3,32207568,50101423,1.56,712712,7175342,43,444716,5541,0.4,122139.0,138213.0,deep_scaling_results_1776339155.csv,True
BST,1000,1000,6936,10948,1.58,0,2157,13,487,0,54.8,3278.0,203.0,deep_scaling_results_1776339155.csv,True
BST,2500,1000,5144,26040,5.06,0,5165,21,4752,0,94.0,13535.0,839.0,deep_scaling_results_1776339155.csv,True
BST,5000,1000,55577,51093,0.92,4,10179,44,9474,0,82.7,30676.0,1901.0,deep_scaling_results_1776339155.csv,True
BST,7500,1000,91986,76223,0.83,4,15191,43,13986,0,70.0,46169.0,2862.0,deep_scaling_results_1776339155.csv,True
BST,10000,1000,168811,101226,0.6,2,20193,87,17345,0,58.3,75583.0,4685.0,deep_scaling_results_1776339155.csv,True
BST,25000,1000,541410,256639,0.47,1,51167,198,40796,0,89.8,270690.0,16778.0,deep_scaling_results_1776339155.csv,True
BST,50000,1000,1215752,515041,0.42,70,102715,514,79830,0,78.6,673326.0,41733.0,deep_scaling_results_1776339155.csv,True
BST,75000,1000,1671548,798894,0.48,8,157481,573,120245,0,90.2,1093429.0,67771.0,deep_scaling_results_1776339155.csv,True
BST,100000,200,2404335,1096595,0.46,5532,214007,738,128530,0,93.2,1987355.0,275433.0,deep_scaling_results_1776339155.csv,True
BST,250000,200,17464911,2430081,0.14,820518,409173,1639,409358,92478,16.2,2838046.0,393333.0,deep_scaling_results_1776339155.csv,True
BST,500000,200,60751151,4674328,0.08,2124649,813399,4301,979811,298362,4.1,2490531.0,345170.0,deep_scaling_results_1776339155.csv,True
BST,750000,200,83558952,6695801,0.08,2999397,1213872,8486,1245422,432190,11.6,9050221.0,1254297.0,deep_scaling_results_1776339155.csv,True
BST,1000000,20,84008418,8763350,0.1,4054969,1630731,21483,2054447,574114,4.2,3571708.0,1565370.0,deep_scaling_results_1776339155.csv,True
BST,2500000,20,231123377,21127671,0.09,10726415,4061085,15377,5239050,1441384,2.1,4916751.0,2154861.0,deep_scaling_results_1776339155.csv,True
BST,5000000,20,378251157,44437780,0.12,20910844,8067371,29031,10540233,2880955,0.9,3501150.0,1534447.0,deep_scaling_results_1776339155.csv,True
BST,7500000,20,568954617,67561736,0.12,32468611,11977524,48909,15852655,4323692,2.1,11737060.0,5143994.0,deep_scaling_results_1776339155.csv,True
BST,10000000,3,831845238,89842244,0.11,44346355,15810764,55085,20889792,5781195,0.4,3166479.0,3583208.0,deep_scaling_results_1776339155.csv,True
Vector,1000,1000,6521,7456,1.14,0,1101,11,11,0,66.0,2941.0,182.0,deep_scaling_results_1776339155.csv,True
Vector,2500,1000,1070,17956,16.78,0,2601,11,51,0,96.6,7024.0,435.0,deep_scaling_results_1776339155.csv,True
Vector,5000,1000,28506,35456,1.24,0,5101,12,157,0,57.8,12372.0,767.0,deep_scaling_results_1776339155.csv,True
Vector,7500,1000,1029,52956,51.46,0,7601,13,450,0,107.7,20428.0,1266.0,deep_scaling_results_1776339155.csv,True
Vector,10000,1000,55153,70456,1.28,0,10101,12,634,0,89.4,27391.0,1698.0,deep_scaling_results_1776339155.csv,True
Vector,25000,1000,136101,175456,1.29,8,25101,12,1572,0,85.8,67828.0,4204.0,deep_scaling_results_1776339155.csv,True
Vector,50000,1000,267692,350456,1.31,205,50101,14,3140,0,84.7,132817.0,8232.0,deep_scaling_results_1776339155.csv,True
Vector,75000,1000,406894,525456,1.29,194,75101,13,4695,0,82.5,198662.0,12313.0,deep_scaling_results_1776339155.csv,True
Vector,100000,200,539453,700456,1.3,320,100101,14,6260,0,88.2,267642.0,37093.0,deep_scaling_results_1776339155.csv,True
Vector,250000,200,1141527,1750456,1.53,3445,250101,14,15636,0,86.8,653446.0,90563.0,deep_scaling_results_1776339155.csv,True
Vector,500000,200,2094856,3500457,1.67,20873,500102,15,27753,1,76.8,1224624.0,169724.0,deep_scaling_results_1776339155.csv,True
Vector,750000,200,2633985,4898866,1.86,45574,746517,15,35756,20,72.5,1714385.0,237602.0,deep_scaling_results_1776339155.csv,True
Vector,1000000,20,3036871,5539996,1.82,63000,894514,14,48901,59,68.8,2130291.0,933641.0,deep_scaling_results_1776339155.csv,True
Vector,2500000,20,7359517,11193623,1.52,162685,1653790,23,103553,1363,23.3,1834941.0,804198.0,deep_scaling_results_1776339155.csv,True
Vector,5000000,20,15677717,25010026,1.6,358116,3574919,30,227162,2752,18.0,2866040.0,1256097.0,deep_scaling_results_1776339155.csv,True
Vector,7500000,20,23946690,38114904,1.59,548621,5584213,30,350139,4145,9.2,2191138.0,960308.0,deep_scaling_results_1776339155.csv,True
Vector,10000000,3,31470215,49533108,1.57,704965,7055626,24,459537,5505,1.6,500291.0,566133.0,deep_scaling_results_1776339155.csv,True
Deque,1000,1000,5948,11609,1.95,0,2150,9,10,0,72.8,2772.0,172.0,deep_scaling_results_1776339155.csv,True
Deque,2500,1000,16578,31415,1.89,0,6248,13,30,0,67.3,7686.0,476.0,deep_scaling_results_1776339155.csv,True
Deque,5000,1000,25819,56221,2.18,0,10346,17,195,0,84.1,12832.0,795.0,deep_scaling_results_1776339155.csv,True
Deque,7500,1000,41194,87180,2.12,0,16493,20,445,0,82.4,20434.0,1267.0,deep_scaling_results_1776339155.csv,True
Deque,10000,1000,50645,111986,2.21,3,20591,24,631,0,65.0,23518.0,1458.0,deep_scaling_results_1776339155.csv,True
Deque,25000,1000,124630,279281,2.24,16,51326,38,1584,0,91.1,63036.0,3907.0,deep_scaling_results_1776339155.csv,True
Deque,50000,1000,230641,551953,2.39,18,100502,63,3159,0,96.8,122355.0,7584.0,deep_scaling_results_1776339155.csv,True
Deque,75000,1000,368035,830778,2.26,29,151727,87,4733,0,66.3,172567.0,10696.0,deep_scaling_results_1776339155.csv,True
Deque,100000,200,484977,1103450,2.28,120,200903,113,6308,0,89.4,238665.0,33077.0,deep_scaling_results_1776339155.csv,True
Deque,250000,200,1188767,2757941,2.32,1356,502106,256,15755,0,81.9,588937.0,81622.0,deep_scaling_results_1776339155.csv,True
Deque,500000,200,1926440,5509274,2.86,16217,1002063,505,31503,0,77.6,1142084.0,158285.0,deep_scaling_results_1776339155.csv,True
Deque,750000,200,2496600,7907317,3.17,44461,1502019,746,45222,3,74.8,1618825.0,224358.0,deep_scaling_results_1776339155.csv,True
Deque,1000000,20,2972255,8264845,2.78,87796,1771429,887,55519,107,72.5,2039395.0,893804.0,deep_scaling_results_1776339155.csv,True
Deque,2500000,20,7212352,18755435,2.6,169302,3414634,1721,104492,1366,23.1,1732479.0,759292.0,deep_scaling_results_1776339155.csv,True
Deque,5000000,20,16806338,37660261,2.24,342469,6898352,3419,221857,2762,10.1,1727942.0,757304.0,deep_scaling_results_1776339155.csv,True
Deque,7500000,20,23071005,59707592,2.59,552180,10959346,5237,311537,4641,11.5,2621127.0,1148760.0,deep_scaling_results_1776339155.csv,True
Deque,10000000,3,27858421,76882870,2.76,706017,14952813,7359,440935,5420,0.8,219164.0,248007.0,deep_scaling_results_1776339155.csv,True
Heap,1000,1000,6524,7456,1.14,0,1101,11,12,0,61.6,2816.0,175.0,deep_scaling_results_1776339155.csv,True
Heap,2500,1000,14612,17956,1.23,0,2601,11,1,0,76.4,6973.0,432.0,deep_scaling_results_1776339155.csv,True
Heap,5000,1000,28129,35456,1.26,4,5101,12,192,0,90.6,14026.0,869.0,deep_scaling_results_1776339155.csv,True
Heap,7500,1000,41774,52956,1.27,7,7601,13,451,0,76.3,20099.0,1246.0,deep_scaling_results_1776339155.csv,True
Heap,10000,1000,55190,70456,1.28,2,10101,13,633,0,75.7,26534.0,1645.0,deep_scaling_results_1776339155.csv,True
Heap,25000,1000,136487,175456,1.29,9,25101,13,1571,0,84.5,67409.0,4178.0,deep_scaling_results_1776339155.csv,True
Heap,50000,1000,271423,350456,1.29,31,50101,13,3135,0,83.6,132980.0,8242.0,deep_scaling_results_1776339155.csv,True
Heap,75000,1000,406167,525456,1.29,3,75101,14,4700,0,76.1,194948.0,12083.0,deep_scaling_results_1776339155.csv,True
Heap,100000,200,542039,700456,1.29,61,100101,13,6258,0,85.0,265357.0,36777.0,deep_scaling_results_1776339155.csv,True
Heap,250000,200,1064657,1750456,1.64,357,250101,13,15636,0,85.1,648109.0,89823.0,deep_scaling_results_1776339155.csv,True
Heap,500000,200,2143605,3500457,1.63,19811,395826,15,31263,0,76.2,1230384.0,170523.0,deep_scaling_results_1776339155.csv,True
Heap,750000,200,2686786,5106868,1.9,34723,745109,16,45867,12,71.6,1708144.0,236737.0,deep_scaling_results_1776339155.csv,True
Heap,1000000,20,3944804,6538606,1.66,64750,929934,18,52399,69,66.8,2183535.0,956976.0,deep_scaling_results_1776339155.csv,True
Heap,2500000,20,7297906,11629299,1.59,160155,1643966,61,102761,1384,23.4,1886615.0,826845.0,deep_scaling_results_1776339155.csv,True
Heap,5000000,20,15547377,23685370,1.52,353509,3416784,42,221771,2857,15.1,2419205.0,1060264.0,deep_scaling_results_1776339155.csv,True
Heap,7500000,20,24516448,37985614,1.55,536639,5551375,50,348000,4136,10.0,2385566.0,1045521.0,deep_scaling_results_1776339155.csv,True
Heap,10000000,3,31819610,50256023,1.58,712814,7192524,41,450155,5512,0.9,272988.0,308915.0,deep_scaling_results_1776339155.csv,True
HashMap,1000,1000,6797,13454,1.98,1,3101,14,703,0,67.3,3230.0,200.0,deep_scaling_results_1776339155.csv,True
HashMap,2500,1000,17982,32954,1.83,0,7601,51,2978,0,83.8,10047.0,623.0,deep_scaling_results_1776339155.csv,True
HashMap,5000,1000,33176,65454,1.97,0,15101,79,7981,0,93.9,17675.0,1096.0,deep_scaling_results_1776339155.csv,True
